STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20224,11215,광진구,92150893,42824062,49326831,13440354,17952953,15499918,13947363,13284464,18025840,25665859,18853663,10070222,10067998,15045610,12447540,13155910,13031129,13032235,13012728,13047405,13367204,13504280
20224,11230,동대문구,106753455,50512630,56240825,13932318,22815692,15356516,15326646,14779850,24542432,27645451,22450337,13025016,12832381,17277829,13522439,15308054,15310500,15320394,15285338,15162196,15143494,15223478
20224,11260,중랑구,97958502,45931643,52026859,13602382,12917254,15158415,14673901,16365195,25241353,27280956,19982082,10755046,10757939,15975372,13207107,14003026,13751597,13752257,13706952,13745772,14314352,14684545
20224,11290,성북구,120387484,55046738,65340748,21123080,21317424,16493705,17999886,17296627,26156762,32090526,24682041,13813415,13900783,20028650,15872069,17235046,17115165,17131615,17089255,16960407,17259075,17596920
20224,11305,강북구,96763701,44601151,52162551,13731630,13561961,12296382,14391005,15708904,27073819,26412534,19768135,10924821,10928626,15825402,12904183,13822969,13651509,13627373,13577988,13635763,14075710,14372390
20224,11320,도봉구,64574925,29895617,34679309,10303577,7701886,8399151,9500394,10381014,18288906,17678140,13322242,7232824,7224110,10501112,8616496,9239921,9095850,9090738,9055151,9051763,9387170,9654331
20224,11350,노원구,96345410,44399576,51945833,17862661,13235055,11540973,14401527,14993656,24311539,25529404,19602391,11088605,11220992,16219919,12684102,13722487,13564758,13588802,13550836,13588192,14070371,14259964
20224,11380,은평구,99443890,44707981,54735909,16312244,12600575,14933084,15944042,15094220,24559724,28283848,20503119,10625716,10564194,15887554,13579460,14224138,13968461,13971511,13901583,13959455,14545714,14873027
20224,11410,서대문구,94956260,43150591,51805669,13687717,18244484,15457194,15371172,13466571,18729121,24035503,19945772,11840090,11827001,15488913,11818983,13706365,13862754,13885770,13887422,13707580,12948668,12957704
20224,11440,마포구,116023747,53094468,62929280,15696880,23861279,22637634,19714938,14752423,19360592,28538377,23298352,14453988,14806602,20260537,14665893,16432815,16576722,16603854,16606707,16720042,16692968,16390639
20224,11470,양천구,76551500,35824448,40727052,16168201,8589014,10612153,12907900,11574805,16699426,21421173,15681336,8365748,8375025,12381591,10326625,10961374,10801086,10788158,10755807,10788460,11125184,11331431
