STDR_YYQU_CD,SIGNGU_CD,SIGNGU_CD_NM,MT_AVRG_INCOME_AMT,INCOME_SCTN_CD,EXPNDTR_TOTAMT,FDSTFFS_EXPNDTR_TOTAMT,CLTHS_FTWR_EXPNDTR_TOTAMT,LVSPL_EXPNDTR_TOTAMT,MCP_EXPNDTR_TOTAMT,TRNSPORT_EXPNDTR_TOTAMT,EDC_EXPNDTR_TOTAMT,PLESR_EXPNDTR_TOTAMT,LSR_CLTUR_EXPNDTR_TOTAMT,ETC_EXPNDTR_TOTAMT,FD_EXPNDTR_TOTAMT
20193,11500,강서구,3251146,7,215536918000,26921322000,2522475000,2347355000,25610105000,25509284000,6008743000,5778809000,68887913000,21459281000,30491631000
20193,11260,중랑구,2701482,6,58635575000,16946610000,1122996000,1879864000,8150018000,3848776000,2988979000,3267497000,4489764000,2302903000,13638168000
20193,11350,노원구,3327047,7,106989224000,33105567000,1794620000,1777276000,13017728000,3378660000,8861872000,3953063000,13570814000,4414339000,23115285000
20193,11620,관악구,2937877,6,105431634000,27224107000,2738980000,1939664000,12179887000,2581005000,14129791000,5879556000,6877766000,4524640000,27356238000
20193,11710,송파구,4126356,8,174685491000,35708216000,7474308000,7039693000,29789626000,8795202000,9017301000,5845862000,23547362000,8527846000,38940075000
20193,11170,용산구,4085781,8,226315175000,110994380000,2023515000,18254636000,3721557000,4844725000,1310764000,4071623000,32991254000,23379102000,24723619000
20193,11305,강북구,2647046,6,52781988000,11915478000,1645365000,1754015000,7431913000,3327947000,1426034000,3735037000,3715757000,2587072000,15243370000
20193,11410,서대문구,3466211,7,104075016000,12478536000,1342193000,1026523000,55516638000,2220491000,3547319000,2445532000,4390913000,3214286000,17892585000
20193,11440,마포구,3947573,8,469805126000,26147878000,8162807000,3163481000,13117572000,2144126000,8307501000,8317226000,344835942000,7614409000,47994184000
20193,11545,금천구,2760087,6,104592838000,13011898000,17575418000,41464092000,6948247000,3425845000,1573793000,2042689000,4799541000,1703073000,12048242000
20193,11230,동대문구,3103926,7,77720628000,21033110000,2914933000,1574828000,17475182000,6243196000,2318480000,2692181000,3715831000,2090067000,17662820000
20193,11530,구로구,3135990,7,719419810000,18221601000,1323490000,2269110000,16678976000,8397616000,3213048000,3597607000,642950757000,3061701000,19705904000
20193,11140,중구,3607465,7,1894091359000,36043742000,9535801000,4874792000,10358175000,429548983000,15595848000,3261145000,1313359890000,44493904000,27019079000
20193,11470,양천구,3939633,8,260891086000,23000514000,1245571000,1559800000,13565981000,5655068000,11611000000,2448764000,180948744000,3595530000,17260114000
20193,11680,강남구,5126808,9,1789725492000,39760136000,24670876000,16005928000,105970633000,35059490000,35060788000,15669882000,869165728000,568328755000,80033276000
20193,11740,강동구,3387538,7,160796924000,17973767000,2078621000,2130574000,14456921000,3027814000,5125545000,3707438000,88467804000,3282863000,20545577000
20194,11215,광진구,3192971,7,84240439000,15637724000,4533624000,2578825000,9179500000,5886250000,3324228000,5296058000,6097712000,4375049000,27331469000
20194,11440,마포구,3832436,8,489580667000,25348481000,8163230000,3151737000,13624726000,2133239000,8170475000,8336637000,362548542000,7969964000,50133636000
20194,11530,구로구,2994059,7,786812262000,17723116000,1823444000,2397253000,17084032000,6853549000,3212360000,3455417000,710269601000,3597785000,20395705000
20194,11560,영등포구,3604887,7,265952775000,20702137000,4589080000,2411291000,15006482000,110798043000,3436649000,5353344000,27675645000,38018306000,37961798000
20194,11620,관악구,2771927,6,104848965000,24974493000,3248978000,1672617000,12759082000,2721174000,14480788000,5683272000,6849726000,4584344000,27874491000
20194,11320,도봉구,2785111,6,42287698000,11573497000,895556000,1099035000,5319227000,4047821000,2266588000,1650800000,2849784000,1702807000,10882583000
20194,11545,금천구,2632285,6,110127925000,11917185000,25105613000,37912934000,8963931000,3325026000,1730333000,1979339000,4962691000,1872424000,12358449000
20194,11590,동작구,3454170,7,169884767000,19308745000,1166129000,1273807000,13234204000,97129921000,4502550000,2913121000,5061925000,3503852000,21790513000
20194,11350,노원구,3195375,7,109011901000,34049774000,2015262000,1617738000,13141935000,3212135000,7574741000,3815452000,15147291000,4367805000,24069768000
20194,11410,서대문구,3417706,7,106641960000,12275715000,1623504000,963477000,57504881000,2097698000,3278723000,2552635000,4297544000,3228309000,18819474000
20194,11650,서초구,4912401,9,421718891000,20874150000,5648910000,2692685000,51936907000,7691387000,12850264000,7402102000,110765642000,153443504000,48413340000
20194,11260,중랑구,2598785,6,59053537000,16256528000,1486319000,2352309000,8689639000,3905139000,2836137000,3170991000,4315296000,2322900000,13718279000
20194,11290,성북구,3281773,7,71552454000,17880117000,2194581000,1370660000,8321720000,3831146000,3782166000,2417148000,7700951000,2686239000,21367726000
20194,11500,강서구,3160623,7,207417820000,25095468000,2810505000,2482416000,40221133000,30990346000,5715736000,5623689000,41765257000,21526784000,31186486000
20194,11710,송파구,3995905,8,178202814000,33747586000,9435938000,7657132000,30573436000,8774614000,8413954000,5708835000,25641604000,8804290000,39445425000
20194,11200,성동구,3734499,7,71631839000,15156404000,2585131000,1775180000,8737490000,8365411000,4504997000,2433030000,4398108000,3855912000,19820176000
20194,11305,강북구,2547460,6,52491477000,10937149000,1947469000,1607818000,7875759000,3174995000,1394943000,3571241000,4069959000,2673041000,15239103000
20194,11470,양천구,3796034,8,282433469000,21199758000,1479797000,1754556000,14331189000,5562345000,9910227000,2335305000,204923935000,3683106000,17253251000
20194,11110,종로구,3725859,7,167944643000,12945250000,11807243000,1402805000,14727446000,3811398000,3314603000,4400962000,17235104000,57438231000,40861601000
20194,11170,용산구,3971498,8,220365642000,101942726000,2601612000,17588980000,3858624000,4795364000,1381147000,4390776000,31619623000,26434358000,25752432000
20194,11230,동대문구,3030256,7,78580110000,20772754000,3153490000,1514274000,17365621000,6382435000,2271441000,2775311000,3611463000,2080800000,18652521000
20194,11380,은평구,2912739,6,69783115000,15763514000,1929385000,1756526000,13173723000,4139843000,4135350000,3183408000,4227943000,3226833000,18246590000
20194,11680,강남구,4943841,9,1926853162000,38029328000,27663313000,17235298000,107759669000,38011567000,29762356000,15707640000,966034675000,603578277000,83071039000
20194,11740,강동구,3292857,7,161265576000,16873068000,2465125000,1852605000,14750966000,2565150000,4792550000,3639616000,89936720000,3516893000,20872883000
20194,11140,중구,3513603,7,2060990462000,36168835000,11782939000,4892484000,11182126000,441402240000,16006387000,3201458000,1460414682000,46702326000,29236985000
20201,11320,도봉구,2785111,6,39744497000,11843848000,589744000,1225953000,5206295000,3643706000,2060712000,1494383000,2531827000,1488195000,9659834000
20201,11500,강서구,3160623,7,151584194000,27028583000,2054893000,2219377000,38136190000,13059341000,5239181000,4964740000,14265650000,17589591000,27026648000
20201,11620,관악구,2771927,6,95887149000,26416611000,1998526000,1480237000,12348082000,2406143000,12725499000,5110129000,5828726000,4044163000,23529033000
20201,11680,강남구,4943841,9,1975862310000,36232129000,19064298000,19314188000,116042348000,28808453000,24106211000,12564733000,1008042330000,642514197000,69173423000
20201,11140,중구,3513603,7,1970762275000,33155455000,6020578000,4670493000,10196579000,360519763000,15289900000,2193183000,1494231012000,22801814000,21683498000
20201,11200,성동구,3734499,7,65987046000,15807958000,1610915000,1070855000,8263839000,9381128000,3735569000,2112864000,3680615000,3038998000,17284305000
20201,11590,동작구,3454170,7,143454466000,19916916000,826073000,1078076000,12354879000,78588142000,3753701000,2443637000,4520628000,2906339000,17066075000
20201,11170,용산구,3971498,8,216386093000,114542075000,1783209000,17115420000,3681185000,3512742000,1150377000,3306234000,24248928000,26810973000,20234950000
20201,11260,중랑구,2598785,6,54064193000,16618688000,997514000,1376806000,8411762000,3531290000,2558384000,2678154000,3914826000,2096772000,11879997000
20201,11380,은평구,2912739,6,64769269000,17161027000,1390177000,1856311000,11944838000,3647844000,3717123000,2914233000,3692002000,2645336000,15800378000
20201,11440,마포구,3832436,8,483022355000,23834249000,5361795000,2590472000,12774231000,1838950000,7047389000,6910258000,374968154000,6496181000,41200676000
20201,11410,서대문구,3417706,7,104682565000,12139290000,1102777000,968238000,62375165000,1780312000,2671863000,2193352000,3560582000,2842770000,15048216000
20201,11470,양천구,3796034,8,279037899000,23141623000,1115810000,1585157000,14028806000,5019132000,9280220000,2187693000,204444964000,3051863000,15182631000
